"genotype","severity","defoliation"
"145",267.305059523809,9500
"145",232.238095238095,9600
"145",356.393849206349,12675
"145",275.902777777778,7000
"146",201.089285714286,5250
"146",211.0625,5062.5
"146",194.984126984127,7800
"146",289.270833333333,6625
"146",275.104166666667,2937.5
"147",285.946428571429,7050
"147",291.924603174603,7250
"147",467.642857142857,13187.5
"147",341.330357142857,8637.5
"147",231.68253968254,6550
"149",18.2589285714285,6487.5
"149",18.7708333333333,2125
"149",61.0982142857143,8600
"149",14.1041666666667,4250
"149",29.125,4450
"150",301.382936507936,4850
"150",403.291666666667,8275.00000000001
"150",321.714285714285,10312.5
"150",269.547619047619,7287.5
"150",378.392857142857,10100
"152",428.166666666667,7700
"152",186.28869047619,4700
"152",295.25,7862.5
"152",178.853174603175,5137.5
"152",213.118055555556,5287.5
"153",457.107142857143,12675
"153",375.608134920635,9175
"153",295.325396825397,5625
"153",250.341071428572,7362.5
"153",368.440476190476,8800
"154",180.20634920635,7037.5
"154",214.329365079365,4700
"154",210.755952380952,8912.5
"154",235.3125,3387.5
"154",277.470238095238,4062.5
"155",237.75,10825
"155",253.743055555555,6200
"155",280.363095238095,10850
"155",341.985119047619,7825
"155",281.642857142857,6912.5
"156",88.4226190476191,2512.5
"156",115.571428571429,5762.5
"156",117.34623015873,2700
"156",110.097222222222,462.5
"156",100.910714285714,6412.5
"157",297.228174603175,7287.5
"157",309.190476190476,9287.5
"157",355.261904761905,14187.5
"157",395.375,10987.5
"157",298.815476190476,5050
"158",75.2976190476191,1675
"158",159.666666666667,3650
"158",112.470238095238,3800
"158",120.910714285714,6575
"158",181.967261904762,3325
"159",112.071428571429,2950
"159",105.244047619048,6737.5
"159",197.617857142857,5387.5
"159",234.390873015873,8525
"159",42.9503968253968,2500
"160",103.741071428571,4600
"160",83.1785714285715,6225
"160",81.2361111111111,5887.5
"160",260.869047619048,9662.5
"160",237.595238095238,9225
"161",172.439484126984,5525
"161",72.3125,5775
"161",159.213293650794,3800
"161",238.035714285715,5762.5
"161",212.809523809524,5462.5
"162",24.5833333333333,4712.5
"162",67.1964285714285,6875
"162",59.5029761904763,4687.5
"162",54.3373015873016,1025
"162",81.2976190476191,6587.5
"163",52.4900793650794,2412.5
"163",112.078373015873,7737.5
"163",77.5833333333333,4775
"163",146.892857142857,4937.5
"163",118.099206349206,4112.5
"164",179.571428571429,7900
"164",228.916666666666,10200
"164",247.791666666667,9312.5
"164",345.422619047619,11237.5
"164",440,15012.5
"165",60.8571428571429,4825
"165",86.9910714285714,8262.5
"165",122.030753968254,5337.5
"165",64.625,6600
"165",44.8958333333334,4787.5
"166",30.7857142857143,3837.5
"166",73.6339285714286,4637.5
"166",86.5297619047619,5225
"166",17.6636904761905,4412.5
"166",37.2559523809523,2925
"167",297.767857142857,10575
"167",304.416666666667,8662.5
"167",340.482142857143,9637.5
"167",189.888888888889,8862.5
"167",263.994047619048,9962.5
"168",372.910714285714,14175
"168",295.444444444444,8537.5
"168",163.821428571429,6237.5
"168",247.178571428571,10537.5
"168",237.574404761905,8625
"169",259.449404761905,9000
"169",360.845238095238,10200
"169",259.72123015873,8425
"169",390.321428571428,7912.5
"169",355.596428571429,10500
"171",156.547619047619,8062.5
"171",205.044642857143,7362.5
"171",197.053571428571,8187.5
"171",188.805555555555,4775
"171",222.714285714285,3800
"172",84.0813492063491,2887.5
"172",145.744047619048,3912.5
"172",261.857142857143,4987.5
"172",223.833333333333,5400
"172",179.663690476191,7187.5
"173",53.9285714285714,7862.5
"173",69.3571428571428,2125
"173",37.5396825396826,3537.5
"173",71.4880952380952,4475
"173",48.4821428571429,2225
"174",14.9642857142857,8250
"174",37.2857142857143,5437.5
"174",12.0535714285714,5150
"174",16.0714285714286,7975
"174",15.4791666666667,6400
"183",54.3809523809524,6912.5
"183",37.4821428571429,2900
"183",14.1071428571429,4375
"183",32.875,3775
"183",40.9791666666666,2462.5
"199",143.829365079365,5887.5
"199",228.068452380952,6825
"199",77.8184523809524,5725
"199",47.3690476190476,2000
"199",28.4732142857142,2700
"200",252.946428571429,7325
"200",164.671626984127,6762.5
"200",249.958333333334,6187.5
"200",232.107142857143,6775
"200",221.598214285715,3800
"203",0,1187.5
"203",0,2475
"203",4.16666666666667,2512.5
"203",2.14285714285715,1875
"203",0,2025
"205",114.340277777778,2025
"205",208.541666666666,7137.5
"205",136.326388888889,3575
"205",146.540674603174,3350
"205",98.3313492063492,1950
"212",71.9999999999999,10812.5
"212",126.238095238096,6112.5
"212",169.880952380953,4087.5
"212",132.901785714286,7000
"212",148.699404761905,8662.5
"213",169.982142857143,3950
"213",216.657738095238,6387.5
"213",252.797619047619,11250
"213",296.226190476191,9037.5
"213",273.125,11987.5
"214",192.333333333334,6912.5
"214",292.595238095238,8650
"214",275.017857142857,7612.5
"214",272.779761904762,8375
"214",263.998015873016,7375
"216",187.625,8087.5
"216",224.280753968253,7537.5
"216",266.125,8162.5
"216",216.083333333333,10475
"216",266.776785714286,7812.5
"218",92.5833333333333,2650
"218",151.875992063492,6662.5
"218",63.5,2912.5
"218",59.2311507936508,3625
"218",63.5654761904762,5112.5
"219",257.910714285715,7800
"219",172.574404761905,7862.5
"219",327.545634920635,10462.5
"219",315.264880952381,9212.5
"219",304.285714285714,5987.5
"220",234.154761904762,9025
"220",205.886904761905,9987.5
"220",300.952380952381,11462.5
"220",255.4,9362.5
"220",220.25,11300
"222",42.9464285714286,3375
"222",45.4732142857143,6162.5
"222",26.6934523809523,7925
"222",146.25,12625
"222",107.625,10150
"226",47.8125,5425
"226",57.2797619047619,4462.5
"226",136.079365079365,5662.5
"226",190.671626984127,9312.5
"226",98.4166666666666,4462.5
"228",386.517857142857,10500
"228",284.568452380953,7700
"228",220.474603174603,6312.5
"228",286.906746031746,7950
